date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n,call_spread,call_quote_ratio,call_bidqty,call_askqty
2026-01-02,2101,南港,71900.0,150000.0,8.0,0.0,71050.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2105,正新,76890.0,228000.0,12.0,11300.0,51910.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2204,中華,15630.0,41000.0,3.0,14400.0,1230.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2228,劍麟,1661690.0,3443000.0,82.0,1362310.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2231,為升,79930.0,285000.0,8.0,51870.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2233,宇隆,3907830.0,3796000.0,136.0,3581920.0,0.0,25.0,1130.0,2000.0,2.0,0.0,1130.0,1.0,,,,
2026-01-02,2301,光寶科,32185360.0,28692000.0,1050.0,26727260.0,0.0,180.0,292220.0,337000.0,16.0,0.0,292220.0,9.0,,,,
2026-01-02,2303,聯電,3135660.0,2865000.0,171.0,14840.0,2336630.0,48.0,28100.0,116000.0,5.0,0.0,0.0,2.0,,,,
2026-01-02,2308,台達電,75980560.0,53149000.0,2367.0,68673850.0,0.0,247.0,7921440.0,20760000.0,133.0,0.0,6055980.0,26.0,,,,
2026-01-02,2312,金寶,9235310.0,10185000.0,327.0,4106850.0,2244570.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2313,華通,14185490.0,11271000.0,808.0,11655680.0,1975970.0,107.0,146310.0,125000.0,13.0,23410.0,122900.0,4.0,,,,
2026-01-02,2316,楠梓電,8811070.0,13966000.0,274.0,62230.0,8529260.0,66.0,61540.0,67000.0,6.0,52660.0,0.0,4.0,,,,
2026-01-02,2317,鴻海,72122860.0,63192000.0,2461.0,61717500.0,2737740.0,389.0,2988740.0,2685000.0,96.0,0.0,2696980.0,37.0,,,,
2026-01-02,2324,仁寶,5167780.0,6270000.0,206.0,3723620.0,608050.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2327,國巨*,103963010.0,71661000.0,3102.0,99040310.0,67680.0,188.0,361930.0,599000.0,24.0,0.0,330570.0,13.0,,,,
2026-01-02,2328,廣宇,3298310.0,4008000.0,139.0,124940.0,3003230.0,38.0,103600.0,125000.0,2.0,7600.0,0.0,2.0,,,,
2026-01-02,2329,華泰,17057260.0,9100000.0,417.0,7327190.0,8633880.0,55.0,1600.0,10000.0,1.0,0.0,1600.0,1.0,,,,
2026-01-02,2330,台積電,185662210.0,87889000.0,4065.0,158340940.0,56350.0,540.0,12718390.0,19838000.0,528.0,2350.0,12206430.0,112.0,,,,
2026-01-02,2331,精英,847580.0,1438000.0,51.0,797630.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2332,友訊,10040.0,57000.0,4.0,1540.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2337,旺宏,35898190.0,19835000.0,1329.0,35645790.0,30280.0,170.0,713800.0,1504000.0,82.0,0.0,625640.0,21.0,,,,
2026-01-02,2338,光罩,64720.0,365000.0,10.0,38940.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2340,台亞,760780.0,800000.0,42.0,392740.0,216410.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2344,華邦電,39124460.0,5730000.0,1024.0,35127160.0,0.0,67.0,681410.0,8241000.0,268.0,0.0,664730.0,23.0,,,,
2026-01-02,2345,智邦,17196200.0,16006000.0,627.0,30200.0,12953970.0,142.0,1197770.0,1708000.0,48.0,981430.0,24080.0,27.0,,,,
2026-01-02,2347,聯強,720.0,2000.0,2.0,0.0,720.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
