date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n
2026-04-08,1409,新纖,835180.0,2708000.0,20.0,794610.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1442,名軒,270.0,1000.0,1.0,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1476,儒鴻,186240.0,359000.0,26.0,148610.0,37510.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1477,聚陽,434790.0,1907000.0,70.0,362950.0,48930.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1503,士電,5193430.0,11726000.0,153.0,2840650.0,0.0,53.0,40390.0,28000.0,2.0,0.0,40390.0,1.0
2026-04-08,1504,東元,1889250.0,4733000.0,94.0,1019230.0,0.0,29.0,72370.0,37000.0,5.0,0.0,0.0,2.0
2026-04-08,1513,中興電,8976790.0,18554000.0,200.0,4848240.0,0.0,58.0,463920.0,374000.0,6.0,0.0,0.0,1.0
2026-04-08,1514,亞力,1190690.0,2585000.0,72.0,693520.0,0.0,33.0,13300.0,19000.0,2.0,0.0,0.0,1.0
2026-04-08,1519,華城,13242240.0,17724000.0,570.0,10741040.0,0.0,84.0,1844660.0,3004000.0,36.0,0.0,1834160.0,10.0
2026-04-08,1522,堤維西,1550.0,11000.0,2.0,1550.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1536,和大,4900.0,36000.0,6.0,2190.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1560,中砂,36247910.0,20887000.0,737.0,35748640.0,0.0,78.0,102770.0,297000.0,33.0,0.0,79570.0,5.0
2026-04-08,1563,巧新,300.0,10000.0,1.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1582,信錦,1520470.0,1212000.0,70.0,1291670.0,223400.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1590,亞德客-KY,7689420.0,8722000.0,216.0,7334100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1597,直得,402590.0,434000.0,34.0,379740.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1605,華新,6572120.0,8864000.0,307.0,2305400.0,0.0,91.0,45410.0,57000.0,4.0,0.0,1690.0,4.0
2026-04-08,1608,華榮,276980.0,465000.0,13.0,150000.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1609,大亞,91310.0,221000.0,19.0,33910.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1708,東鹼,5962950.0,7125000.0,234.0,0.0,5900500.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1710,東聯,1045560.0,1679000.0,8.0,0.0,1045560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1711,永光,4247350.0,4002000.0,187.0,144470.0,3314520.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1717,長興,14765560.0,12738000.0,570.0,14605260.0,0.0,56.0,62310.0,99000.0,5.0,0.0,62310.0,2.0
2026-04-08,1723,中碳,100110.0,133000.0,6.0,0.0,100110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1736,喬山,30.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1773,勝一,475440.0,679000.0,62.0,475440.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1786,科妍,7580.0,8000.0,2.0,7580.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1795,美時,8563350.0,13444000.0,269.0,3717690.0,1366470.0,62.0,8690.0,11000.0,1.0,0.0,8690.0,1.0
2026-04-08,1802,台玻,8378420.0,5109000.0,456.0,7751840.0,0.0,50.0,214350.0,379000.0,18.0,0.0,214350.0,7.0
2026-04-08,1903,士紙,56000.0,200000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2002,中鋼,4785080.0,7962000.0,187.0,4667760.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2009,第一銅,47000.0,134000.0,11.0,29500.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2014,中鴻,206790.0,405000.0,5.0,206790.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2027,大成鋼,18416200.0,19066000.0,570.0,14447770.0,1755880.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2031,新光鋼,1100.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2034,允強,51070.0,172000.0,4.0,40150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2049,上銀,23273940.0,23908000.0,663.0,21265780.0,47090.0,77.0,4580.0,2000.0,1.0,0.0,0.0,1.0
2026-04-08,2059,川湖,9351010.0,9831000.0,377.0,7873570.0,458780.0,95.0,513930.0,525000.0,29.0,0.0,501980.0,11.0
2026-04-08,2101,南港,676820.0,1582000.0,28.0,676820.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2103,台橡,1200.0,1000.0,1.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2105,正新,1249600.0,1763000.0,100.0,855300.0,156560.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2201,裕隆,19420.0,67000.0,5.0,15660.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2211,長榮鋼,160260.0,250000.0,8.0,132480.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2228,劍麟,13720.0,49000.0,5.0,5040.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2231,為升,442180.0,589000.0,61.0,439300.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2233,宇隆,839430.0,1480000.0,51.0,784590.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2301,光寶科,11031640.0,13055000.0,436.0,9209950.0,0.0,106.0,69310.0,104000.0,9.0,0.0,61980.0,6.0
2026-04-08,2303,聯電,30353590.0,28837000.0,1091.0,28936030.0,25800.0,157.0,1021030.0,989000.0,69.0,0.0,934680.0,11.0
2026-04-08,2308,台達電,47099050.0,21389000.0,1246.0,39082850.0,0.0,167.0,655930.0,1104000.0,71.0,0.0,639930.0,16.0
2026-04-08,2312,金寶,2447200.0,4835000.0,121.0,1297590.0,315820.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2313,華通,96740730.0,46177000.0,2253.0,22122250.0,62834000.0,187.0,2430130.0,4022000.0,218.0,455580.0,1351340.0,26.0
2026-04-08,2316,楠梓電,8340980.0,12628000.0,264.0,6082630.0,1466150.0,47.0,191650.0,410000.0,8.0,0.0,183010.0,5.0
2026-04-08,2317,鴻海,53841680.0,72309000.0,2182.0,42806430.0,35310.0,308.0,4493150.0,5150000.0,141.0,0.0,4354520.0,41.0
2026-04-08,2323,中環,1286560.0,1388000.0,17.0,1286560.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2324,仁寶,1954200.0,3293000.0,101.0,846650.0,0.0,24.0,97990.0,102000.0,3.0,0.0,97000.0,2.0
2026-04-08,2327,國巨*,44386980.0,38021000.0,1381.0,41898440.0,0.0,183.0,96660.0,60000.0,15.0,0.0,33780.0,7.0
2026-04-08,2328,廣宇,724050.0,1185000.0,57.0,642630.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2329,華泰,10816630.0,13520000.0,398.0,9890590.0,0.0,79.0,103670.0,91000.0,6.0,0.0,0.0,2.0
2026-04-08,2330,台積電,293068330.0,197215000.0,7657.0,267702290.0,751010.0,599.0,13046320.0,24968000.0,820.0,0.0,11952110.0,111.0
2026-04-08,2331,精英,31390.0,104000.0,8.0,26080.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2332,友訊,51900.0,475000.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2337,旺宏,10596120.0,1006000.0,379.0,8998970.0,15000.0,44.0,94170.0,914000.0,65.0,370.0,79240.0,10.0
2026-04-08,2338,光罩,2116960.0,1072000.0,62.0,1954300.0,0.0,11.0,5950.0,3000.0,2.0,0.0,0.0,1.0
2026-04-08,2340,台亞,2143340.0,1994000.0,81.0,1932900.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,2344,華邦電,26868120.0,1005000.0,194.0,24734370.0,865000.0,20.0,117080.0,2456000.0,56.0,0.0,95300.0,7.0
2026-04-08,2345,智邦,49952430.0,21765000.0,957.0,44007730.0,0.0,164.0,510510.0,1191000.0,33.0,0.0,490820.0,12.0
2026-04-08,2347,聯強,400780.0,241000.0,30.0,194750.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
