date,code,name,verdict,score,streak,vol_mult,buy_days,sell_days,call_net_win,call_val_win,put_call_win,buy_ratio,blk_n,blk_value,blk_last,blk_dir,blk_wdir,blk_prem,blk_inst_ratio,window,win_len
2026-07-02,2887,台新新光金,unclear,0.0,0,0.4935705084566821,2,3,2619010.0,25958710.0,0.0,0.10694264649506359,1,28761250.0,2026-07-01,buy,0.5,-0.002998500749625266,3.0755028223738536,5,5.0
2026-07-02,2887H,台新新光庚特二,unclear,0.0,0,,0,0,0.0,0.0,,0.0,2,146907300.0,2026-07-02,neutral,-0.14110633031850697,-0.021094489483640698,,5,5.0
2026-07-02,2890,永豐金,unclear,0.0,0,0.46428229195661397,1,4,-2645070.0,8294220.0,0.0,0.0,2,66796700.0,2026-07-01,buy,0.5,0.0012114150203411142,15.688586949654699,5,5.0
2026-07-02,2891,中信金,unclear,0.0,0,0.48093355673606164,1,4,-2069510.0,4386290.0,0.0,0.12229690735648573,9,337357011.0,2026-07-02,buy,0.4111738780493286,0.0028977776771344824,-1.2859561232002965,5,5.0
2026-07-02,3016,嘉晶,unclear,1.2082192745818248,1,1.2082192745818248,2,3,-4580960.0,19936390.0,0.0053755970865337205,0.985190633591518,1,1674750000.0,2026-06-29,neutral,0.0,-0.04938271604938271,1.0097446215853112,5,5.0
2026-07-02,3017,奇鋐,lean_buy,8.940840211350753,3,2.980280070450251,3,2,242683760.0,388538850.0,0.023570847548449788,0.9660437965287625,1,127540000.0,2026-06-29,neutral,0.0,-0.009782608695652173,9.856060843656891,5,5.0
2026-07-02,3034,聯詠,unclear,0.0,0,0.6038287889119522,3,2,-3140200.0,74007710.0,0.000978006210434021,0.2858425962189879,1,342958000.0,2026-06-29,neutral,0.0,-0.12332695984703636,1.6243304165524641,5,5.0
2026-07-02,3037,欣興,unclear,0.0,0,0.7927997908652948,2,3,-22586680.0,76873400.0,0.0005765323245752107,0.014519675823298871,5,2084580400.0,2026-07-02,buy,0.41450797484232316,0.026538150042587146,-2.536479394126511,5,5.0
2026-07-02,3044,健鼎,unclear,0.0,0,0.4674018690649903,1,4,-8016540.0,30042250.0,0.0011600329535903602,0.008751379157173767,6,548188369.0,2026-07-01,buy,0.270040125568589,0.009470978595541904,-1.4067201916500347,5,5.0
2026-07-02,3231,緯創,lean_buy,0.0,0,0.7510489648698058,3,2,4912080.0,68077590.0,0.014213928548293205,0.013828886606588363,1,110950000.0,2026-06-30,buy,0.5,0.0,7.560117142857143,5,5.0
2026-07-02,3376,新日興,unclear,0.0,0,0.23053178635437144,1,4,-9856670.0,23999320.0,0.02629574504610964,0.000270143397429652,1,16623600.0,2026-06-26,neutral,0.0,0.017480719794344513,-39.21185802112659,5,5.0
2026-07-02,3443,創意,hedge_suspect,3.2764252305657164,3,2.184283487043811,3,2,12093740.0,20634870.0,0.0011582336113578617,0.9989868380010883,1,132600000.0,2026-06-26,sell,-0.5,0.0,-8.087133333333334,5,5.0
2026-07-02,3533,嘉澤,unclear,2.4176671374764593,2,1.2088335687382297,3,2,-1592040.0,52237320.0,0.0025983339114640644,0.3911959526358306,1,19305000.0,2026-06-30,neutral,0.0,0.016587677725118377,-13.21381351981352,5,5.0
2026-07-02,3661,世芯-KY,hedge_suspect,9.364494681948944,4,4.269852989944847,4,1,279462980.0,383968130.0,0.020797950079867306,0.9373066131973264,4,1927282320.0,2026-06-29,sell,-0.45170860074096464,-0.007606243683291672,-0.8568088094120014,5,5.0
2026-07-02,3665,貿聯-KY,unclear,0.0,0,1.4557408690762752,2,3,12354560.0,102729010.0,0.019471033547388415,0.262670398360126,2,102190000.0,2026-07-02,neutral,0.10710441334768568,-0.0062593659638236565,3.36308445053332,5,5.0
2026-07-02,3711,日月光投控,lean_buy,8.104901715210229,3,1.9086341433078873,3,2,53517970.0,321284120.0,0.020776127995370576,0.954400568375434,9,1439841409.0,2026-07-02,buy,0.41548023467076156,-0.0026507079241260036,18.02945833668547,5,5.0
2026-07-02,4722,國精化,unclear,0.0,0,0.939717976805244,1,4,-3457000.0,22537750.0,0.00024847200807534027,0.08780615454559872,1,164320000.0,2026-07-01,buy,0.5,0.147005444646098,-0.21299107534079845,5,5.0
2026-07-02,5871,中租-KY,unclear,0.3185548133328812,1,0.21236987555525413,2,3,-897310.0,2132340.0,0.0,1.0,1,152045000.0,2026-06-30,buy,0.5,0.0,0.7717751159196291,5,5.0
2026-07-02,5876,上海商銀,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,15012436.0,2026-07-02,neutral,0.0,0.044205495818399054,-6.245016734792408,5,5.0
2026-07-02,6285,啟碁,unclear,0.7006955893383539,1,0.3503477946691769,2,3,7756100.0,93914630.0,0.05389128403103968,0.8340215108407809,1,19475000.0,2026-06-29,buy,1.0,0.006355932203389925,1.3286648523748394,5,5.0
2026-07-02,6464,台數科,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,32292000.0,2026-06-30,neutral,0.0,0.0,0.004830917874396135,5,5.0
2026-07-02,6669,緯穎,lean_buy,10.316821482194861,4,2.5792053705487152,4,1,172566240.0,287338270.0,0.019299726416533377,0.9539123628322211,1,25037500.0,2026-07-01,neutral,0.0,-0.005461767626613657,56.700685971043434,5,5.0
2026-07-02,6918,愛派司,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,15300000.0,2026-06-30,buy,0.5,0.03734439834024905,-0.023627450980392158,5,5.0
2026-07-02,6994,富威電力,unclear,0.0,0,0.9151193633952255,2,2,-9040.0,16340.0,0.0,0.0,2,71220000.0,2026-06-30,neutral,-0.06866048862679022,-0.025668946025678464,-0.11965487222690256,5,5.0
2026-07-02,7769,鴻勁,sell_avoid,0.0,0,0.6936912266198202,2,3,-5052220.0,30098130.0,0.0,0.3255944444858245,4,265005001.0,2026-07-02,sell,-0.7531178666322603,-0.01308125279725234,-12.034488171791143,5,5.0
2026-07-02,8464,億豐,unclear,10.042500908508835,3,3.347500302836278,3,2,1522260.0,2214620.0,0.0,0.9911084459424531,1,18278000.0,2026-06-26,neutral,0.0,0.0028530670470756636,-0.11139372469635628,5,5.0
2026-07-02,9945,潤泰新,unclear,0.0,0,0.7958856459590196,1,4,-1013130.0,2232040.0,0.0,0.0,1,20593050.0,2026-07-01,neutral,0.0,0.09812030075187961,-3.8840090807335486,5,5.0
2026-07-02,總計,,unclear,0.0,0,,0,0,0.0,0.0,,0.0,5,101737512814.0,2026-07-02,neutral,0.0,,,5,5.0
2026-07-02,0050,元大台灣50,hedge_suspect,0.0,0,0.5515286918866348,6,4,24944620.0,565109350.0,0.16215682858547642,0.013694837295425095,1,2090000000.0,2026-06-17,sell,-0.5,-0.014150943396226467,-0.4846471645933014,10,10.0
2026-07-02,01010T,京城樂富R1,unclear,0.0,0,,0,0,0.0,0.0,,0.0,2,230007580.0,2026-07-01,neutral,0.0,0.002037066169732317,0.002345903466072371,10,10.0
2026-07-02,1216,統一,unclear,0.33149726690155956,1,0.4515187330866159,4,6,-75940.0,5128320.0,0.0,0.9848376484050922,3,182375300.0,2026-07-01,sell,-0.2658172460854074,-0.04634369659964813,-2.625512528286451,10,10.0
