date,window,code,name,verdict,score,blk_dir,blk_wdir,blk_prem,blk_inst_ratio,streak,vol_mult,buy_days,sell_days,call_net_win,call_val_win,put_call_win,buy_ratio,blk_n,blk_value,blk_last,win_len,wq,call_spread,call_quote_ratio
2026-07-02,10,2845,遠東銀,unclear,0.0,sell,-0.5,-0.02,0.3051912899059503,0,,0,0,0.0,0.0,,0.0,1,140290701.0,2026-07-02,10.0,,,
2026-07-02,10,2881,富邦金,unclear,0.0,buy,0.2641662824642903,0.0115108330834939,0.7572665652693465,0,0.6598341609921151,3,7,-16330870.0,63213020.0,0.0,0.0,5,3187230850.0,2026-07-01,10.0,,,
2026-07-02,10,2882,國泰金,unclear,0.0,neutral,-0.2427212964789461,0.0002637474173796,-0.5678691869235922,0,0.245864375064971,4,6,-33204660.0,85729890.0,0.0401929828674689,0.072453380258437,3,4181750900.0,2026-07-01,10.0,,,
2026-07-02,10,2882A,國泰特,unclear,0.0,neutral,0.0,-0.0013806273389721,0.0049542789683254,0,,0,0,0.0,0.0,,0.0,3,94998000.0,2026-06-29,10.0,,,
2026-07-02,10,2883,凱基金,unclear,0.0,buy,0.3608967685662517,-0.0350554811073513,5.265244027832735,0,0.3352003634938244,3,7,-28059220.0,73594880.0,0.0,0.063786493293795,6,365390595.0,2026-07-01,10.0,,,
2026-07-02,10,2885,元大金,sell_avoid,0.0340559498555975,sell,-0.6372030010376244,-0.0047384903114006,-22.665585695941463,2,0.0469352695212472,5,5,-1491050.0,11997610.0,0.0,0.6054327808471455,3,60696340.0,2026-07-01,10.0,,,
2026-07-02,10,2886,兆豐金,unclear,0.0,buy,0.264520881191963,-0.0013098707905131,8.75462698705997,0,0.7382429724971161,4,6,-387810.0,8757310.0,0.0,0.0,2,39560960.0,2026-07-01,10.0,,,
2026-07-02,10,2887,台新新光金,unclear,0.0,buy,0.7985942122861994,0.0108659631540388,7.405374494144009,0,0.4935705084566821,4,6,-2316230.0,43594690.0,0.0,0.1069426464950635,2,71401250.0,2026-07-01,10.0,,,
2026-07-02,10,2887H,台新新光庚特二,unclear,0.0,neutral,-0.1411063303185069,-0.0210944894836406,,0,,0,0,0.0,0.0,,0.0,2,146907300.0,2026-07-02,10.0,,,
2026-07-02,10,2890,永豐金,unclear,0.0,buy,0.5,0.0012114150203411,15.6885869496547,0,0.4334067413241552,3,7,2934730.0,25918630.0,0.0,0.0,2,66796700.0,2026-07-01,10.0,,,
2026-07-02,10,2891,中信金,unclear,0.0,buy,0.3686022087603354,0.0028684235887726,-3.338685690658291,0,0.4343849365443636,4,6,829530.0,20828690.0,0.0,0.1222969073564857,10,353891451.0,2026-07-02,10.0,,,
2026-07-02,10,2912,統一超,unclear,0.0,sell,-0.5,0.0,-33.449966865473826,0,,0,0,0.0,0.0,,0.0,1,20235690.0,2026-06-18,10.0,,,
2026-07-02,10,3016,嘉晶,unclear,1.2082192745818248,neutral,0.0,-0.0493827160493827,1.0097446215853112,1,1.2082192745818248,5,5,-3518300.0,55210770.0,0.0282548133271823,0.985190633591518,1,1674750000.0,2026-06-29,10.0,,,
2026-07-02,10,3017,奇鋐,same_dir_buy,12.03277977783236,buy,0.3458220361165011,-0.0032027078724482,4.346998068005291,3,2.980280070450251,6,4,289731780.0,638876750.0,0.0212445984299788,0.9660437965287624,4,413612934.0,2026-06-29,10.0,,,
2026-07-02,10,3022,威強電,unclear,9.041191424824252,neutral,0.0,0.0,0.0785995635570103,3,3.013730474941417,5,5,-444670.0,8418840.0,0.0,0.5522936612368983,1,150122700.0,2026-06-23,10.0,,,
